,class,text_tfidf
0,ham,"  (0, 8227)	0.23740046706740076
  (0, 8026)	0.19609779550499867
  (0, 5741)	0.2745089285415426
  (0, 4349)	0.29649656754405335
  (0, 4224)	0.35096490210619014
  (0, 3534)	0.19387320529717866
  (0, 3494)	0.16470488207184117
  (0, 2271)	0.2717981573576232
  (0, 1994)	0.29649656754405335
  (0, 1703)	0.29649656754405335
  (0, 1701)	0.33503393550839805
  (0, 1271)	0.262510300888283
  (0, 1051)	0.35096490210619014"
1,ham,"  (0, 8134)	0.4316010362639011
  (0, 5369)	0.5465881710238072
  (0, 5343)	0.27211951321382544
  (0, 4385)	0.4082988561907181
  (0, 4192)	0.5236458071582338"
2,spam,"  (0, 8185)	0.1927520210056736
  (0, 8146)	0.14982929655580282
  (0, 7701)	0.12576907263059747
  (0, 7519)	0.22336358538498402
  (0, 7388)	0.12429791208263606
  (0, 7028)	0.1989696587085652
  (0, 6115)	0.16914304332607796
  (0, 6062)	0.1707825659976717
  (0, 6010)	0.1808417865094903
  (0, 3265)	0.11668290849577324
  (0, 3121)	0.18616532033529198
  (0, 3005)	0.47519430449823097
  (0, 2875)	0.364160767213414
  (0, 2329)	0.20698558786980506
  (0, 2110)	0.19673936097358055
  (0, 1128)	0.1707825659976717
  (0, 784)	0.22336358538498402
  (0, 411)	0.22958122308787565
  (0, 402)	0.22958122308787565
  (0, 77)	0.23759715224911548"
3,ham,"  (0, 6450)	0.6518642650180976
  (0, 3815)	0.5410200249669143
  (0, 2757)	0.3908324106090213
  (0, 2738)	0.36002824805111666"
4,ham,"  (0, 7837)	0.4493939296226912
  (0, 7443)	0.29944698410462967
  (0, 5092)	0.454869854230496
  (0, 4535)	0.5044901821829904
  (0, 3458)	0.4007344360947563
  (0, 2651)	0.2938904272854692"
5,spam,"  (0, 8292)	0.24504596453499983
  (0, 8218)	0.23953378684803003
  (0, 8071)	0.19751106525837206
  (0, 7323)	0.3220600438220938
  (0, 7028)	0.2868873048061999
  (0, 6536)	0.17487318020269374
  (0, 6074)	0.3425829198321019
  (0, 5343)	0.160337941793245
  (0, 4485)	0.16841601232170997
  (0, 3732)	0.1971507409256303
  (0, 3323)	0.24875714523440431
  (0, 3272)	0.2779223131867656
  (0, 2386)	0.3147351123191509
  (0, 1948)	0.3588728429544791
  (0, 607)	0.22290193916140238"
6,ham,"  (0, 7634)	0.35973672466389295
  (0, 6910)	0.323026912678813
